,year,region,yield
0,1993,Asahi,428.0
1,1994,Asahi,569.0
2,1995,Asahi,518.0
3,1996,Asahi,528.0
4,1997,Asahi,554.0
5,1998,Asahi,513.0
6,1999,Asahi,547.0
7,2000,Asahi,573.0
8,2001,Asahi,548.0
9,2002,Asahi,540.0
10,2003,Asahi,520.0
11,2004,Asahi,598.0
12,2005,Asahi,574.0
13,2006,Asahi,526.0
14,2007,Asahi,556.0
15,2008,Asahi,583.0
16,2009,Asahi,549.0
17,2010,Asahi,572.0
18,2011,Asahi,539.0
19,2012,Asahi,583.0
20,2013,Asahi,585.0
21,2014,Asahi,588.0
22,2015,Asahi,565.0
23,2016,Asahi,584.0
24,2017,Asahi,572.0
25,2018,Asahi,567.0
26,2019,Asahi,538.0
27,2020,Asahi,568.0
28,2021,Asahi,574.0
29,2022,Asahi,573.0
30,2023,Asahi,585.0
31,1993,Ichihara,405.0
32,1994,Ichihara,490.0
33,1995,Ichihara,463.0
34,1996,Ichihara,497.0
35,1997,Ichihara,512.0
36,1998,Ichihara,466.0
37,1999,Ichihara,503.0
38,2000,Ichihara,532.0
39,2001,Ichihara,494.0
40,2002,Ichihara,484.0
41,2003,Ichihara,486.0
42,2004,Ichihara,538.0
43,2005,Ichihara,518.0
44,2006,Ichihara,505.0
45,2007,Ichihara,506.0
46,2008,Ichihara,563.0
47,2009,Ichihara,495.0
48,2010,Ichihara,501.0
49,2011,Ichihara,531.0
50,2012,Ichihara,520.0
51,2013,Ichihara,523.0
52,2014,Ichihara,540.0
53,2015,Ichihara,516.0
54,2016,Ichihara,517.0
55,2017,Ichihara,524.0
56,2018,Ichihara,521.0
57,2019,Ichihara,508.0
58,2020,Ichihara,524.0
59,2021,Ichihara,530.0
60,2022,Ichihara,516.0
61,2023,Ichihara,529.0
62,1993,Katori,433.5102967932173
63,1994,Katori,544.7255935970949
64,1995,Katori,509.9304508952648
65,1996,Katori,528.2147779746902
66,1997,Katori,545.9703204413208
67,1998,Katori,500.02312466625375
68,1999,Katori,542.1601823934361
69,2000,Katori,569.1012777939233
70,2001,Katori,539.2530240735671
71,2002,Katori,534.0623142303809
72,2003,Katori,514.3617089908236
73,2004,Katori,581.561735777283
74,2005,Katori,550.0
75,2006,Katori,514.0
76,2007,Katori,554.0
77,2008,Katori,577.0
78,2009,Katori,569.0
79,2010,Katori,562.0
80,2011,Katori,535.0
81,2012,Katori,578.0
82,2013,Katori,577.0
83,2014,Katori,583.0
84,2015,Katori,555.0
85,2016,Katori,580.0
86,2017,Katori,564.0
87,2018,Katori,560.0
88,2019,Katori,525.0
89,2020,Katori,561.0
90,2021,Katori,568.0
91,2022,Katori,566.0
92,2023,Katori,578.0
93,1993,Narita,425.0
94,1994,Narita,524.0
95,1995,Narita,500.0
96,1996,Narita,508.0
97,1997,Narita,519.0
98,1998,Narita,473.0
99,1999,Narita,524.0
100,2000,Narita,547.0
101,2001,Narita,524.0
102,2002,Narita,527.0
103,2003,Narita,487.0
104,2004,Narita,553.0
105,2005,Narita,549.0
106,2006,Narita,508.0
107,2007,Narita,533.0
108,2008,Narita,548.0
109,2009,Narita,537.0
110,2010,Narita,551.0
111,2011,Narita,541.0
112,2012,Narita,549.0
113,2013,Narita,555.0
114,2014,Narita,559.0
115,2015,Narita,542.0
116,2016,Narita,547.0
117,2017,Narita,537.0
118,2018,Narita,535.0
119,2019,Narita,521.0
120,2020,Narita,530.0
121,2021,Narita,545.0
122,2022,Narita,534.0
123,2023,Narita,546.0
124,1993,Sanmu,428.6020843248621
125,1994,Sanmu,538.5581992581299
126,1995,Sanmu,504.1570078753588
127,1996,Sanmu,522.2343194287158
128,1997,Sanmu,539.7888332795056
129,1998,Sanmu,494.3618525970381
130,1999,Sanmu,536.0218336927165
131,2000,Sanmu,562.6579014587185
132,2001,Sanmu,533.1475902789492
133,2002,Sanmu,528.0156497590303
134,2003,Sanmu,508.5380951759077
135,2004,Sanmu,574.9772818813196
136,2005,Sanmu,554.0
137,2006,Sanmu,525.0
138,2007,Sanmu,517.0
139,2008,Sanmu,586.0
140,2009,Sanmu,532.0
141,2010,Sanmu,560.0
142,2011,Sanmu,542.0
143,2012,Sanmu,567.0
144,2013,Sanmu,570.0
145,2014,Sanmu,573.0
146,2015,Sanmu,554.0
147,2016,Sanmu,565.0
148,2017,Sanmu,560.0
149,2018,Sanmu,555.0
150,2019,Sanmu,525.0
151,2020,Sanmu,555.0
152,2021,Sanmu,562.0
153,2022,Sanmu,561.0
154,2023,Sanmu,573.0
