,Year,City,Yields
0,1993,成田市,425.0
1,1994,成田市,524.0
2,1995,成田市,500.0
3,1996,成田市,508.0
4,1997,成田市,519.0
5,1998,成田市,473.0
6,1999,成田市,524.0
7,2000,成田市,547.0
8,2001,成田市,524.0
9,2002,成田市,527.0
10,2003,成田市,487.0
11,2004,成田市,553.0
12,2005,成田市,549.0
13,2006,成田市,508.0
14,2007,成田市,533.0
15,2008,成田市,548.0
16,2009,成田市,537.0
17,2010,成田市,551.0
18,2011,成田市,541.0
19,2012,成田市,549.0
20,2013,成田市,555.0
21,2014,成田市,559.0
22,2015,成田市,542.0
23,2016,成田市,547.0
24,2017,成田市,537.0
25,2018,成田市,535.0
26,2019,成田市,521.0
27,2020,成田市,530.0
28,2021,成田市,545.0
29,2022,成田市,534.0
30,2023,成田市,546.0
31,1993,旭市,428.0
32,1994,旭市,569.0
33,1995,旭市,518.0
34,1996,旭市,528.0
35,1997,旭市,554.0
36,1998,旭市,513.0
37,1999,旭市,547.0
38,2000,旭市,573.0
39,2001,旭市,548.0
40,2002,旭市,540.0
41,2003,旭市,520.0
42,2004,旭市,598.0
43,2005,旭市,574.0
44,2006,旭市,526.0
45,2007,旭市,556.0
46,2008,旭市,583.0
47,2009,旭市,549.0
48,2010,旭市,572.0
49,2011,旭市,539.0
50,2012,旭市,583.0
51,2013,旭市,585.0
52,2014,旭市,588.0
53,2015,旭市,565.0
54,2016,旭市,584.0
55,2017,旭市,572.0
56,2018,旭市,567.0
57,2019,旭市,538.0
58,2020,旭市,568.0
59,2021,旭市,574.0
60,2022,旭市,573.0
61,2023,旭市,585.0
62,1993,市原市,405.0
63,1994,市原市,490.0
64,1995,市原市,463.0
65,1996,市原市,497.0
66,1997,市原市,512.0
67,1998,市原市,466.0
68,1999,市原市,503.0
69,2000,市原市,532.0
70,2001,市原市,494.0
71,2002,市原市,484.0
72,2003,市原市,486.0
73,2004,市原市,538.0
74,2005,市原市,518.0
75,2006,市原市,505.0
76,2007,市原市,506.0
77,2008,市原市,563.0
78,2009,市原市,495.0
79,2010,市原市,501.0
80,2011,市原市,531.0
81,2012,市原市,520.0
82,2013,市原市,523.0
83,2014,市原市,540.0
84,2015,市原市,516.0
85,2016,市原市,517.0
86,2017,市原市,524.0
87,2018,市原市,521.0
88,2019,市原市,508.0
89,2020,市原市,524.0
90,2021,市原市,530.0
91,2022,市原市,516.0
92,2023,市原市,529.0
93,1993,香取市,433.5102967932173
94,1994,香取市,544.7255935970949
95,1995,香取市,509.9304508952648
96,1996,香取市,528.2147779746902
97,1997,香取市,545.9703204413208
98,1998,香取市,500.02312466625375
99,1999,香取市,542.1601823934361
100,2000,香取市,569.1012777939233
101,2001,香取市,539.2530240735671
102,2002,香取市,534.0623142303809
103,2003,香取市,514.3617089908236
104,2004,香取市,581.561735777283
105,2005,香取市,550.0
106,2006,香取市,514.0
107,2007,香取市,554.0
108,2008,香取市,577.0
109,2009,香取市,569.0
110,2010,香取市,562.0
111,2011,香取市,535.0
112,2012,香取市,578.0
113,2013,香取市,577.0
114,2014,香取市,583.0
115,2015,香取市,555.0
116,2016,香取市,580.0
117,2017,香取市,564.0
118,2018,香取市,560.0
119,2019,香取市,525.0
120,2020,香取市,561.0
121,2021,香取市,568.0
122,2022,香取市,566.0
123,2023,香取市,578.0
124,1993,山武市,428.6020843248621
125,1994,山武市,538.5581992581299
126,1995,山武市,504.1570078753588
127,1996,山武市,522.2343194287158
128,1997,山武市,539.7888332795056
129,1998,山武市,494.3618525970381
130,1999,山武市,536.0218336927165
131,2000,山武市,562.6579014587185
132,2001,山武市,533.1475902789492
133,2002,山武市,528.0156497590303
134,2003,山武市,508.5380951759077
135,2004,山武市,574.9772818813196
136,2005,山武市,554.0
137,2006,山武市,525.0
138,2007,山武市,517.0
139,2008,山武市,586.0
140,2009,山武市,532.0
141,2010,山武市,560.0
142,2011,山武市,542.0
143,2012,山武市,567.0
144,2013,山武市,570.0
145,2014,山武市,573.0
146,2015,山武市,554.0
147,2016,山武市,565.0
148,2017,山武市,560.0
149,2018,山武市,555.0
150,2019,山武市,525.0
151,2020,山武市,555.0
152,2021,山武市,562.0
153,2022,山武市,561.0
154,2023,山武市,573.0
