,Year,CityId,City,Yields
31,2023,2,旭市,585
32,2022,2,旭市,573
33,2021,2,旭市,574
34,2020,2,旭市,568
35,2019,2,旭市,538
36,2018,2,旭市,567
37,2017,2,旭市,572
38,2016,2,旭市,584
39,2015,2,旭市,565
40,2014,2,旭市,588
41,2013,2,旭市,585
42,2012,2,旭市,583
43,2011,2,旭市,539
44,2010,2,旭市,572
45,2009,2,旭市,549
46,2008,2,旭市,583
47,2007,2,旭市,556
48,2006,2,旭市,526
49,2005,2,旭市,574
50,2004,2,旭市,598
51,2003,2,旭市,520
52,2002,2,旭市,540
53,2001,2,旭市,548
54,2000,2,旭市,573
55,1999,2,旭市,547
56,1998,2,旭市,513
57,1997,2,旭市,554
58,1996,2,旭市,528
59,1995,2,旭市,518
60,1994,2,旭市,569
61,1993,2,旭市,428
