,Year,CityId,City,Yields
0,2023,1,成田市,546
1,2022,1,成田市,534
2,2021,1,成田市,545
3,2020,1,成田市,530
4,2019,1,成田市,521
5,2018,1,成田市,535
6,2017,1,成田市,537
7,2016,1,成田市,547
8,2015,1,成田市,542
9,2014,1,成田市,559
10,2013,1,成田市,555
11,2012,1,成田市,549
12,2011,1,成田市,541
13,2010,1,成田市,551
14,2009,1,成田市,537
15,2008,1,成田市,548
16,2007,1,成田市,533
17,2006,1,成田市,508
18,2005,1,成田市,549
19,2004,1,成田市,553
20,2003,1,成田市,487
21,2002,1,成田市,527
22,2001,1,成田市,524
23,2000,1,成田市,547
24,1999,1,成田市,524
25,1998,1,成田市,473
26,1997,1,成田市,519
27,1996,1,成田市,508
28,1995,1,成田市,500
29,1994,1,成田市,524
30,1993,1,成田市,425
31,2023,2,旭市,585
32,2022,2,旭市,573
33,2021,2,旭市,574
34,2020,2,旭市,568
35,2019,2,旭市,538
36,2018,2,旭市,567
37,2017,2,旭市,572
38,2016,2,旭市,584
39,2015,2,旭市,565
40,2014,2,旭市,588
41,2013,2,旭市,585
42,2012,2,旭市,583
43,2011,2,旭市,539
44,2010,2,旭市,572
45,2009,2,旭市,549
46,2008,2,旭市,583
47,2007,2,旭市,556
48,2006,2,旭市,526
49,2005,2,旭市,574
50,2004,2,旭市,598
51,2003,2,旭市,520
52,2002,2,旭市,540
53,2001,2,旭市,548
54,2000,2,旭市,573
55,1999,2,旭市,547
56,1998,2,旭市,513
57,1997,2,旭市,554
58,1996,2,旭市,528
59,1995,2,旭市,518
60,1994,2,旭市,569
61,1993,2,旭市,428
62,2023,3,市原市,529
63,2022,3,市原市,516
64,2021,3,市原市,530
65,2020,3,市原市,524
66,2019,3,市原市,508
67,2018,3,市原市,521
68,2017,3,市原市,524
69,2016,3,市原市,517
70,2015,3,市原市,516
71,2014,3,市原市,540
72,2013,3,市原市,523
73,2012,3,市原市,520
74,2011,3,市原市,531
75,2010,3,市原市,501
76,2009,3,市原市,495
77,2008,3,市原市,563
78,2007,3,市原市,506
79,2006,3,市原市,505
80,2005,3,市原市,518
81,2004,3,市原市,538
82,2003,3,市原市,486
83,2002,3,市原市,484
84,2001,3,市原市,494
85,2000,3,市原市,532
86,1999,3,市原市,503
87,1998,3,市原市,466
88,1997,3,市原市,512
89,1996,3,市原市,497
90,1995,3,市原市,463
91,1994,3,市原市,490
92,1993,3,市原市,405
93,2023,4,香取市,578
94,2022,4,香取市,566
95,2021,4,香取市,568
96,2020,4,香取市,561
97,2019,4,香取市,525
98,2018,4,香取市,560
99,2017,4,香取市,564
100,2016,4,香取市,580
101,2015,4,香取市,555
102,2014,4,香取市,583
103,2013,4,香取市,577
104,2012,4,香取市,578
105,2011,4,香取市,535
106,2010,4,香取市,562
107,2009,4,香取市,569
108,2008,4,香取市,577
109,2007,4,香取市,554
110,2006,4,香取市,514
111,2005,4,香取市,550
112,2023,5,山武市,573
113,2022,5,山武市,561
114,2021,5,山武市,562
115,2020,5,山武市,555
116,2019,5,山武市,525
117,2018,5,山武市,555
118,2017,5,山武市,560
119,2016,5,山武市,565
120,2015,5,山武市,554
121,2014,5,山武市,573
122,2013,5,山武市,570
123,2012,5,山武市,567
124,2011,5,山武市,542
125,2010,5,山武市,560
126,2009,5,山武市,532
127,2008,5,山武市,586
128,2007,5,山武市,517
129,2006,5,山武市,525
130,2005,5,山武市,554
