,Year,CityId,City,Yields
62,2023,3,市原市,529
63,2022,3,市原市,516
64,2021,3,市原市,530
65,2020,3,市原市,524
66,2019,3,市原市,508
67,2018,3,市原市,521
68,2017,3,市原市,524
69,2016,3,市原市,517
70,2015,3,市原市,516
71,2014,3,市原市,540
72,2013,3,市原市,523
73,2012,3,市原市,520
74,2011,3,市原市,531
75,2010,3,市原市,501
76,2009,3,市原市,495
77,2008,3,市原市,563
78,2007,3,市原市,506
79,2006,3,市原市,505
80,2005,3,市原市,518
81,2004,3,市原市,538
82,2003,3,市原市,486
83,2002,3,市原市,484
84,2001,3,市原市,494
85,2000,3,市原市,532
86,1999,3,市原市,503
87,1998,3,市原市,466
88,1997,3,市原市,512
89,1996,3,市原市,497
90,1995,3,市原市,463
91,1994,3,市原市,490
92,1993,3,市原市,405
