,Year,CityId,City,Yields
0,2023,1,成田市,546
1,2022,1,成田市,534
2,2021,1,成田市,545
3,2020,1,成田市,530
4,2019,1,成田市,521
5,2018,1,成田市,535
6,2017,1,成田市,537
7,2016,1,成田市,547
8,2015,1,成田市,542
9,2014,1,成田市,559
10,2013,1,成田市,555
11,2012,1,成田市,549
12,2011,1,成田市,541
13,2010,1,成田市,551
14,2009,1,成田市,537
15,2008,1,成田市,548
16,2007,1,成田市,533
17,2006,1,成田市,508
18,2005,1,成田市,549
19,2004,1,成田市,553
20,2003,1,成田市,487
21,2002,1,成田市,527
22,2001,1,成田市,524
23,2000,1,成田市,547
24,1999,1,成田市,524
25,1998,1,成田市,473
26,1997,1,成田市,519
27,1996,1,成田市,508
28,1995,1,成田市,500
29,1994,1,成田市,524
30,1993,1,成田市,425
