,Year,CityId,City,Yields
0,1993,5,山武市,428.6020843248621
1,1994,5,山武市,538.5581992581299
2,1995,5,山武市,504.15700787535883
3,1996,5,山武市,522.2343194287158
4,1997,5,山武市,539.7888332795056
5,1998,5,山武市,494.3618525970381
6,1999,5,山武市,536.0218336927165
7,2000,5,山武市,562.6579014587185
8,2001,5,山武市,533.1475902789492
9,2002,5,山武市,528.0156497590303
10,2003,5,山武市,508.5380951759077
11,2004,5,山武市,574.9772818813196
12,2005,5,山武市,554.0
13,2006,5,山武市,525.0
14,2007,5,山武市,517.0
15,2008,5,山武市,586.0
16,2009,5,山武市,532.0
17,2010,5,山武市,560.0
18,2011,5,山武市,542.0
19,2012,5,山武市,567.0
20,2013,5,山武市,570.0
21,2014,5,山武市,573.0
22,2015,5,山武市,554.0
23,2016,5,山武市,565.0
24,2017,5,山武市,560.0
25,2018,5,山武市,555.0
26,2019,5,山武市,525.0
27,2020,5,山武市,555.0
28,2021,5,山武市,562.0
29,2022,5,山武市,561.0
30,2023,5,山武市,573.0
