"水陸稲種類","市町村（長期累年）","時間軸（年次）（長期累年）","面積収量収穫量","値"
"水稲","千葉県成田市","2005年","10a当たり収量【kg】","549"
"水稲","千葉県成田市","2004年","10a当たり収量【kg】","553"
"水稲","千葉県成田市","2003年","10a当たり収量【kg】","487"
"水稲","千葉県成田市","2002年","10a当たり収量【kg】","527"
"水稲","千葉県成田市","2001年","10a当たり収量【kg】","524"
"水稲","千葉県成田市","2000年","10a当たり収量【kg】","547"
"水稲","千葉県成田市","1999年","10a当たり収量【kg】","524"
"水稲","千葉県成田市","1998年","10a当たり収量【kg】","473"
"水稲","千葉県成田市","1997年","10a当たり収量【kg】","519"
"水稲","千葉県成田市","1996年","10a当たり収量【kg】","508"
"水稲","千葉県成田市","1995年","10a当たり収量【kg】","500"
"水稲","千葉県成田市","1994年","10a当たり収量【kg】","524"
"水稲","千葉県成田市","1993年","10a当たり収量【kg】","425"
"水稲","千葉県旭市","2005年","10a当たり収量【kg】","574"
"水稲","千葉県旭市","2004年","10a当たり収量【kg】","598"
"水稲","千葉県旭市","2003年","10a当たり収量【kg】","520"
"水稲","千葉県旭市","2002年","10a当たり収量【kg】","540"
"水稲","千葉県旭市","2001年","10a当たり収量【kg】","548"
"水稲","千葉県旭市","2000年","10a当たり収量【kg】","573"
"水稲","千葉県旭市","1999年","10a当たり収量【kg】","547"
"水稲","千葉県旭市","1998年","10a当たり収量【kg】","513"
"水稲","千葉県旭市","1997年","10a当たり収量【kg】","554"
"水稲","千葉県旭市","1996年","10a当たり収量【kg】","528"
"水稲","千葉県旭市","1995年","10a当たり収量【kg】","518"
"水稲","千葉県旭市","1994年","10a当たり収量【kg】","569"
"水稲","千葉県旭市","1993年","10a当たり収量【kg】","428"
"水稲","千葉県市原市","2005年","10a当たり収量【kg】","518"
"水稲","千葉県市原市","2004年","10a当たり収量【kg】","538"
"水稲","千葉県市原市","2003年","10a当たり収量【kg】","486"
"水稲","千葉県市原市","2002年","10a当たり収量【kg】","484"
"水稲","千葉県市原市","2001年","10a当たり収量【kg】","494"
"水稲","千葉県市原市","2000年","10a当たり収量【kg】","532"
"水稲","千葉県市原市","1999年","10a当たり収量【kg】","503"
"水稲","千葉県市原市","1998年","10a当たり収量【kg】","466"
"水稲","千葉県市原市","1997年","10a当たり収量【kg】","512"
"水稲","千葉県市原市","1996年","10a当たり収量【kg】","497"
"水稲","千葉県市原市","1995年","10a当たり収量【kg】","463"
"水稲","千葉県市原市","1994年","10a当たり収量【kg】","490"
"水稲","千葉県市原市","1993年","10a当たり収量【kg】","405"
"水稲","千葉県香取市","2005年","10a当たり収量【kg】","550"
"水稲","千葉県山武市","2005年","10a当たり収量【kg】","554"
