"時間軸（年次）","市町村","/面積収量収穫量","10a当たり収量【kg】"
"2020年","千葉県成田市","","530"
"2020年","千葉県旭市","","568"
"2020年","千葉県市原市","","524"
"2020年","千葉県香取市","","561"
"2020年","千葉県山武市","","555"
"2019年","千葉県成田市","","521"
"2019年","千葉県旭市","","538"
"2019年","千葉県市原市","","508"
"2019年","千葉県香取市","","525"
"2019年","千葉県山武市","","525"
"2018年","千葉県成田市","","535"
"2018年","千葉県旭市","","567"
"2018年","千葉県市原市","","521"
"2018年","千葉県香取市","","560"
"2018年","千葉県山武市","","555"
"2017年","千葉県成田市","","537"
"2017年","千葉県旭市","","572"
"2017年","千葉県市原市","","524"
"2017年","千葉県香取市","","564"
"2017年","千葉県山武市","","560"
"2016年","千葉県成田市","","547"
"2016年","千葉県旭市","","584"
"2016年","千葉県市原市","","517"
"2016年","千葉県香取市","","580"
"2016年","千葉県山武市","","565"
"2015年","千葉県成田市","","542"
"2015年","千葉県旭市","","565"
"2015年","千葉県市原市","","516"
"2015年","千葉県香取市","","555"
"2015年","千葉県山武市","","554"
"2014年","千葉県成田市","","559"
"2014年","千葉県旭市","","588"
"2014年","千葉県市原市","","540"
"2014年","千葉県香取市","","583"
"2014年","千葉県山武市","","573"
"2013年","千葉県成田市","","555"
"2013年","千葉県旭市","","585"
"2013年","千葉県市原市","","523"
"2013年","千葉県香取市","","577"
"2013年","千葉県山武市","","570"
"2012年","千葉県成田市","","549"
"2012年","千葉県旭市","","583"
"2012年","千葉県市原市","","520"
"2012年","千葉県香取市","","578"
"2012年","千葉県山武市","","567"
"2011年","千葉県成田市","","541"
"2011年","千葉県旭市","","539"
"2011年","千葉県市原市","","531"
"2011年","千葉県香取市","","535"
"2011年","千葉県山武市","","542"
"2010年","千葉県成田市","","551"
"2010年","千葉県旭市","","572"
"2010年","千葉県市原市","","501"
"2010年","千葉県香取市","","562"
"2010年","千葉県山武市","","560"
"2009年","千葉県成田市","","537"
"2009年","千葉県旭市","","549"
"2009年","千葉県市原市","","495"
"2009年","千葉県香取市","","569"
"2009年","千葉県山武市","","532"
"2008年","千葉県成田市","","548"
"2008年","千葉県旭市","","583"
"2008年","千葉県市原市","","563"
"2008年","千葉県香取市","","577"
"2008年","千葉県山武市","","586"
"2007年","千葉県成田市","","533"
"2007年","千葉県旭市","","556"
"2007年","千葉県市原市","","506"
"2007年","千葉県香取市","","554"
"2007年","千葉県山武市","","517"
