,Year,CityId,City,Yields
0,2020,1,千葉県成田市,530
1,2020,2,千葉県旭市,568
2,2020,3,千葉県市原市,524
3,2020,4,千葉県香取市,561
4,2020,5,千葉県山武市,555
5,2019,1,千葉県成田市,521
6,2019,2,千葉県旭市,538
7,2019,3,千葉県市原市,508
8,2019,4,千葉県香取市,525
9,2019,5,千葉県山武市,525
10,2018,1,千葉県成田市,535
11,2018,2,千葉県旭市,567
12,2018,3,千葉県市原市,521
13,2018,4,千葉県香取市,560
14,2018,5,千葉県山武市,555
15,2017,1,千葉県成田市,537
16,2017,2,千葉県旭市,572
17,2017,3,千葉県市原市,524
18,2017,4,千葉県香取市,564
19,2017,5,千葉県山武市,560
20,2016,1,千葉県成田市,547
21,2016,2,千葉県旭市,584
22,2016,3,千葉県市原市,517
23,2016,4,千葉県香取市,580
24,2016,5,千葉県山武市,565
25,2015,1,千葉県成田市,542
26,2015,2,千葉県旭市,565
27,2015,3,千葉県市原市,516
28,2015,4,千葉県香取市,555
29,2015,5,千葉県山武市,554
30,2014,1,千葉県成田市,559
31,2014,2,千葉県旭市,588
32,2014,3,千葉県市原市,540
33,2014,4,千葉県香取市,583
34,2014,5,千葉県山武市,573
35,2013,1,千葉県成田市,555
36,2013,2,千葉県旭市,585
37,2013,3,千葉県市原市,523
38,2013,4,千葉県香取市,577
39,2013,5,千葉県山武市,570
40,2012,1,千葉県成田市,549
41,2012,2,千葉県旭市,583
42,2012,3,千葉県市原市,520
43,2012,4,千葉県香取市,578
44,2012,5,千葉県山武市,567
45,2011,1,千葉県成田市,541
46,2011,2,千葉県旭市,539
47,2011,3,千葉県市原市,531
48,2011,4,千葉県香取市,535
49,2011,5,千葉県山武市,542
50,2010,1,千葉県成田市,551
51,2010,2,千葉県旭市,572
52,2010,3,千葉県市原市,501
53,2010,4,千葉県香取市,562
54,2010,5,千葉県山武市,560
55,2009,1,千葉県成田市,537
56,2009,2,千葉県旭市,549
57,2009,3,千葉県市原市,495
58,2009,4,千葉県香取市,569
59,2009,5,千葉県山武市,532
60,2008,1,千葉県成田市,548
61,2008,2,千葉県旭市,583
62,2008,3,千葉県市原市,563
63,2008,4,千葉県香取市,577
64,2008,5,千葉県山武市,586
65,2007,1,千葉県成田市,533
66,2007,2,千葉県旭市,556
67,2007,3,千葉県市原市,506
68,2007,4,千葉県香取市,554
69,2007,5,千葉県山武市,517
